Unnamed: 0,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
144143,2,11170530,686,서울,용산구,남영동,2018,1
144163,3,11170530,675,서울,용산구,남영동,2018,1
145436,23,11170530,673,서울,용산구,남영동,2018,1
147067,13,11170555,713,서울,용산구,청파동,2018,1
148738,5,11170560,1132,서울,용산구,원효로1동,2018,1
149568,3,11170590,973,서울,용산구,용문동,2018,1
153549,11,11170640,534,서울,용산구,이촌2동,2018,1
158394,10,11170700,451,서울,용산구,보광동,2018,1
161246,16,11170520,482,서울,용산구,용산2가동,2018,1
162140,18,11170690,591,서울,용산구,서빙고동,2018,1
163715,8,11170510,429,서울,용산구,후암동,2018,1
167127,1,11170530,853,서울,용산구,남영동,2018,1
167983,22,11170530,809,서울,용산구,남영동,2018,1
175587,10,11170640,1164,서울,용산구,이촌2동,2018,1
179923,9,11170700,454,서울,용산구,보광동,2018,1
183273,15,11170520,498,서울,용산구,용산2가동,2018,1
184165,17,11170690,590,서울,용산구,서빙고동,2018,1
185763,7,11170510,603,서울,용산구,후암동,2018,1
188276,0,11170530,772,서울,용산구,남영동,2018,1
189998,21,11170530,1745,서울,용산구,남영동,2018,1
197079,9,11170640,464,서울,용산구,이촌2동,2018,1
200280,1,11170650,2257,서울,용산구,이태원1동,2018,1
202219,22,11170650,838,서울,용산구,이태원1동,2018,1
205286,14,11170520,668,서울,용산구,용산2가동,2018,1
206188,16,11170690,1531,서울,용산구,서빙고동,2018,1
212052,20,11170530,1005,서울,용산구,남영동,2018,1
220517,7,11170660,634,서울,용산구,이태원2동,2018,1
220609,12,11170520,1530,서울,용산구,용산2가동,2018,1
220658,15,11170690,618,서울,용산구,서빙고동,2018,1
224587,13,11170520,650,서울,용산구,용산2가동,2018,1
253495,6,11170530,695,서울,용산구,남영동,2018,1
272487,8,11170660,694,서울,용산구,이태원2동,2018,1
272989,11,11170510,397,서울,용산구,후암동,2018,1
275120,5,11170530,881,서울,용산구,남영동,2018,1
287928,0,11170650,1884,서울,용산구,이태원1동,2018,1
289673,21,11170650,1536,서울,용산구,이태원1동,2018,1
294739,10,11170510,408,서울,용산구,후암동,2018,1
540,0,11170510,454,서울,용산구,후암동,2018,2
575,0,11170520,491,서울,용산구,용산2가동,2018,2
599,0,11170530,933,서울,용산구,남영동,2018,2
612,0,11170555,597,서울,용산구,청파동,2018,2
652,0,11170560,728,서울,용산구,원효로1동,2018,2
678,0,11170570,460,서울,용산구,원효로2동,2018,2
709,0,11170580,503,서울,용산구,효창동,2018,2
728,0,11170590,589,서울,용산구,용문동,2018,2
751,0,11170625,961,서울,용산구,한강로동,2018,2
780,0,11170630,513,서울,용산구,이촌1동,2018,2
834,0,11170640,459,서울,용산구,이촌2동,2018,2
854,0,11170650,1169,서울,용산구,이태원1동,2018,2
865,0,11170660,698,서울,용산구,이태원2동,2018,2
883,0,11170685,694,서울,용산구,한남동,2018,2
921,0,11170690,587,서울,용산구,서빙고동,2018,2
947,0,11170700,462,서울,용산구,보광동,2018,2
19693,1,11170510,456,서울,용산구,후암동,2018,2
19728,1,11170520,498,서울,용산구,용산2가동,2018,2
19752,1,11170530,905,서울,용산구,남영동,2018,2
19765,1,11170555,598,서울,용산구,청파동,2018,2
19805,1,11170560,732,서울,용산구,원효로1동,2018,2
19831,1,11170570,459,서울,용산구,원효로2동,2018,2
19862,1,11170580,503,서울,용산구,효창동,2018,2
19881,1,11170590,592,서울,용산구,용문동,2018,2
19904,1,11170625,938,서울,용산구,한강로동,2018,2
19933,1,11170630,514,서울,용산구,이촌1동,2018,2
19987,1,11170640,452,서울,용산구,이촌2동,2018,2
20007,1,11170650,1109,서울,용산구,이태원1동,2018,2
20018,1,11170660,700,서울,용산구,이태원2동,2018,2
20036,1,11170685,682,서울,용산구,한남동,2018,2
20074,1,11170690,585,서울,용산구,서빙고동,2018,2
20100,1,11170700,463,서울,용산구,보광동,2018,2
38846,2,11170510,461,서울,용산구,후암동,2018,2
38881,2,11170520,492,서울,용산구,용산2가동,2018,2
38905,2,11170530,890,서울,용산구,남영동,2018,2
